IATA,Airport name,Location served
YUL,Montréal–Trudeau International Airport,"Montreal, Quebec, Canada"
YYT,St. John's International Airport,"St. John's, Newfoundland and Labrador, Canada"
YYZ,Toronto Pearson International Airport,"Toronto, Ontario, Canada"
AAQ,Anapa Airport,"Anapa, Krasnodar Krai, Russia"
ACE,Lanzarote Airport,"Lanzarote, Canary Islands, Spain"
ACH,St. Gallen–Altenrhein Airport,"Altenrhein, Switzerland"
AER,Sochi International Airport,"Sochi, Krasnodar Krai, Russia"
AGP,Málaga Airport,"Málaga, Andalusia, Spain"
AJA,Ajaccio Napoleon Bonaparte Airport,"Ajaccio, Corsica, France"
ALC,Alicante–Elche Airport,"Alicante, Valencia, Spain"
AMS,Amsterdam Airport Schiphol,"Amsterdam, Netherlands"
ANR,Antwerp International Airport,"Antwerp, Belgium"
ATH,Athens International Airport (Eleftherios Venizelos Airport),"Athens, Greece"
BCN,Barcelona–El Prat Airport,"Barcelona, Catalonia, Spain"
BDS,Brindisi – Salento Airport,"Brindisi, Apulia, Italy"
BEG,Belgrade Nikola Tesla Airport,"Belgrade, Serbia"
BER,Berlin Brandenburg Airport,"Berlin, Germany"
BES,Brest Bretagne Airport,"Brest, Brittany, France"
BGY,Il Caravaggio International Airport (Orio al Serio Airport),"Milan / Bergamo, Lombardy, Italy"
BIA,Bastia – Poretta Airport,"Bastia, Corsica, France"
BLQ,Bologna Guglielmo Marconi Airport,"Bologna, Emilia-Romagna, Italy"
BOD,Bordeaux–Mérignac Airport,"Bordeaux, Aquitaine, France"
BOJ,Burgas Airport,"Burgas, Bulgaria"
BRE,Bremen Airport,"Bremen, Bremen, Germany"
BRI,Bari Karol Wojtyła Airport,"Bari, Apulia, Italy"
BRN,Bern Airport,"Bern, Switzerland"
BRQ,Brno–Tuřany Airport,"Brno, Czech Republic"
BRU,Brussels Airport (Zaventem Airport),"Brussels, Belgium"
BSL,EuroAirport Basel-Mulhouse-Freiburg,"Basel, Switzerland"
BTS,M. R. Štefánik Airport,"Bratislava, Slovakia"
BUD,Budapest Ferenc Liszt International Airport,"Budapest, Hungary"
BVA,Beauvais–Tillé Airport,"Beauvais, Picardy, France"
BZG,Bydgoszcz Ignacy Jan Paderewski Airport,"Bydgoszcz, Poland"
BZY,Bălți International Airport,"Bălți, Moldova"
CAG,Cagliari Elmas Airport,"Cagliari, Sardinia, Italy"
CDG,Charles de Gaulle Airport (Roissy Airport),"Paris, Île-de-France, France"
CFU,Corfu International Airport (Ioannis Kapodistrias Int'l Airport),"Corfu, Greece"
CGN,Cologne Bonn Airport,"Cologne / Bonn, North Rhine-Westphalia, Germany"
CHQ,"Chania International Airport (""Ioannis Daskalogiannis"")","Chania, Greece"
CIA,Ciampino–G. B. Pastine International Airport,"Rome, Lazio, Italy"
CLJ,Cluj-Napoca International Airport,"Cluj-Napoca, Romania"
CTA,Catania–Fontanarossa Airport,"Catania, Sicily, Italy"
DBV,Dubrovnik Airport,"Dubrovnik, Croatia"
DEB,Debrecen International Airport,"Debrecen, Hungary"
DME,Domodedovo International Airport,"Moscow, Russia"
DNK,Dnipro International Airport,"Dnipro, Ukraine"
DRS,Dresden Airport,"Dresden, Saxony, Germany"
DTM,Dortmund Airport,"Dortmund, North Rhine-Westphalia, Germany"
DUS,Düsseldorf Airport,"Düsseldorf, North Rhine-Westphalia, Germany"
EAP[1],metropolitan area2,"Basel, Switzerland / Mulhouse, Alsace, France"
EIN,Eindhoven Airport,"Eindhoven, Netherlands"
FAO,Faro Airport,"Faro, Portugal"
FCO,Leonardo da Vinci–Fiumicino Airport,"Rome, Lazio, Italy"
FLR,"Florence Airport, Peretola (Amerigo Vespucci Airport)","Florence, Tuscany, Italy"
FMM,Memmingen Airport,"Memmingen, Bavaria, Germany"
FNC,Madeira Airport,"Funchal, Madeira, Portugal"
FRA,Frankfurt Airport,"Frankfurt, Hessen, Germany"
FUE,Fuerteventura Airport,"Fuerteventura, Canary Islands, Spain"
GDN,Gdańsk Lech Wałęsa Airport,"Gdańsk, Poland"
GIB,Gibraltar International Airport (North Front Airport),British Overseas Territory of Gibraltar
GOA,Genoa Cristoforo Colombo Airport,"Genoa, Liguria, Italy"
GRQ,Groningen Airport Eelde,"Groningen, Netherlands"
GVA,Geneva Airport,"Geneva, Switzerland"
HAJ,Hannover Airport,"Hanover, Lower Saxony, Germany"
HAM,Hamburg Airport,"Hamburg, Germany"
HER,Heraklion International Airport (Nikos Kazantzakis Airport),"Heraklion, Greece"
HOR,Horta Airport,"Horta, Azores, Portugal"
HRK,Kharkiv International Airport (Osnova Airport),"Kharkiv, Ukraine"
IAS,Iași International Airport,"Iași, Romania"
IBZ,Ibiza Airport,"Ibiza, Balearic Islands, Spain"
IEV,Kyiv International Airport (Zhuliany),"Kyiv, Ukraine"
INI,Niš Constantine the Great Airport,"Niš, Serbia"
INN,Innsbruck Airport (Kranebitten Airport),"Innsbruck, Austria"
JMK,Mykonos Island National Airport,"Mykonos, Greece"
JTR,Santorini (Thira) National Airport,"Santorini (Thira), Greece"
KBP,Boryspil International Airport,"Kyiv, Ukraine"
KGD,Khrabrovo Airport,"Kaliningrad, Kaliningrad Oblast, Russia"
KGS,Kos Island International Airport,"Kos, Greece"
KIV,Chișinău International Airport,"Chișinău, Moldova"
KJK,Kortrijk–Wevelgem International Airport,"Kortrijk, Belgium"
KLV,Karlovy Vary Airport,"Karlovy Vary, Czech Republic"
KRK,John Paul II International Airport Kraków–Balice,"Kraków, Poland"
KRR,Krasnodar International Airport (Pashkovsky Airport),"Krasnodar, Krasnodar Krai, Russia"
KSC,Košice International Airport,"Košice, Slovakia"
KTW,Katowice International Airport,"Katowice, Poland"
KUN,Kaunas International Airport,"Kaunas, Lithuania"
LCJ,Łódź Władysław Reymont Airport,"Łódź, Poland"
LED,Pulkovo Airport,"Saint Petersburg, Russia"
LEJ,Leipzig/Halle Airport,"Leipzig, Saxony / Halle, Saxony-Anhalt,2 Germany"
LEU,La Seu d'Urgell Airport,"La Seu d'Urgell, Catalonia, Spain"
LIL,Lille Airport (Lille–Lesquin Airport),"Lille, Nord-Pas-de-Calais, France"
LIN,Linate Airport,"Milan, Lombardy, Italy"
LIS,Lisbon Portela Airport,"Lisbon, Portugal"
LJU,Ljubljana Jože Pučnik Airport (Brnik Airport),"Ljubljana, Slovenia"
LPA,Gran Canaria Airport,"Gran Canaria, Canary Islands, Spain"
LPX,Liepāja International Airport,"Liepāja, Latvia"
LUG,Lugano Airport,"Lugano, Switzerland"
LUX,Luxembourg Findel Airport,"Luxembourg, Luxembourg"
LUZ,Lublin Airport,"Lublin, Poland"
LWO,Lviv Danylo Halytskyi International Airport,"Lviv, Ukraine"
LYS,Lyon–Saint-Exupéry Airport,"Lyon, Rhône-Alpes, France"
MAD,Adolfo Suárez Madrid–Barajas Airport,"Madrid, Spain"
MAH,Menorca Airport (Mahón Airport),"Menorca, Balearic Islands, Spain"
MLA,Malta International Airport (Luqa Airport),"Luqa, Malta"
MOW[1],metropolitan area3,"Moscow, Russia"
MPL,Montpellier–Méditerranée Airport (Fréjorgues Airport),"Montpellier, Languedoc-Roussillon, France"
MRS,Marseille Provence Airport,"Marseille, Provence-Alpes-Côte d'Azur, France"
MSQ,Minsk National Airport,"Minsk, Belarus"
MST,Maastricht Aachen Airport,"Maastricht, Netherlands"
MUC,Munich Airport,"Munich, Bavaria, Germany"
MXP,Milan–Malpensa Airport,"Milan, Lombardy, Italy"
NAP,Naples International Airport,"Naples, Campania, Italy"
NCE,Nice Côte d'Azur Airport,"Nice, Provence-Alpes-Côte d'Azur, France"
NTE,Nantes Atlantique Airport,"Nantes, Pays de la Loire, France"
NUE,Nuremberg Airport,"Nuremberg, Bavaria, Germany"
ODS,Odesa International Airport,"Odesa, Ukraine"
OLB,Olbia Costa Smeralda Airport,"Olbia, Sardinia, Italy"
OPO,Francisco de Sá Carneiro Airport,"Porto, Portugal"
ORY,Orly Airport,"Paris, Île-de-France, France"
OSR,Leoš Janáček Airport Ostrava,"Ostrava, Czech Republic"
OST,Ostend–Bruges International Airport,"Ostend / Bruges, Belgium"
OTP,Henri Coandă International Airport,"Bucharest, Romania"
OZH,Zaporizhzhia International Airport,"Zaporizhzhia, Ukraine"
PDL,João Paulo II Airport,"Ponta Delgada, Azores, Portugal"
PED,Pardubice Airport,"Pardubice, Czech Republic"
PLQ,Palanga International Airport,"Palanga, Lithuania"
PMI,Palma de Mallorca Airport,"Palma de Mallorca, Balearic Islands, Spain"
PMO,Falcone–Borsellino Airport (Punta Raisi Airport),"Palermo, Sicily, Italy"
POZ,Poznań–Ławica Airport,"Poznań, Poland"
PRG,Václav Havel Airport Prague,"Prague, Czech Republic"
PRN,Pristina International Airport,"Pristina, Kosovo"
PSA,Pisa International Airport (Galileo Galilei Airport),"Pisa, Tuscany, Italy"
PUY,Pula Airport,"Pula, Croatia"
PXO,Porto Santo Airport,"Porto Santo Island, Madeira, Portugal"
RHO,Rhodes International Airport,"Rhodes, Greece"
RIX,Riga International Airport,"Riga, Latvia"
RMI,Federico Fellini International Airport,"Rimini, Emilia-Romagna, Italy"
RTM,Rotterdam The Hague Airport,"Rotterdam, Netherlands"
RVI,Rostov-on-Don Airport,"Rostov-on-Don, Rostov Oblast, Russia"
RZE,Rzeszów–Jasionka Airport,"Rzeszów, Poland"
SBZ,Sibiu International Airport,"Sibiu, Romania"
SIR,Sion Airport,"Sion, Switzerland"
SJJ,Sarajevo International Airport,"Sarajevo, Bosnia and Herzegovina"
SKG,"Thessaloniki Airport ""Macedonia""","Thessaloniki, Greece"
SKP,"Skopje ""Alexander the Great"" Airport","Skopje, North Macedonia"
SLD,Sliač Airport,"Sliač, Slovakia"
SMA,Santa Maria Airport,"Santa Maria Island, Azores, Portugal"
SOF,Sofia Airport,"Sofia, Bulgaria"
SPU,Split Airport,"Split, Croatia"
STR,Stuttgart Airport,"Stuttgart, Baden-Württemberg, Germany"
SVO,Sheremetyevo International Airport,"Moscow, Russia"
SVQ,Seville Airport,"Seville, Andalusia, Spain"
SXB,Strasbourg Airport,"Strasbourg, Alsace, France"
SZG,Salzburg Airport,"Salzburg, Austria"
SZZ,"""Solidarity"" Szczecin–Goleniów Airport","Szczecin, Poland"
TAT,Poprad–Tatry Airport,"Poprad, Slovakia"
TER,Lajes Airport,"Terceira Island, Azores, Portugal"
TFN,Tenerife–North Airport (Los Rodeos Airport),"Tenerife, Canary Islands, Spain"
TFS,Tenerife–South Airport (Reina Sofia Airport),"Tenerife, Canary Islands, Spain"
TGD,Podgorica Airport,"Podgorica, Montenegro"
TIA,Tirana International Airport Nënë Tereza,"Tirana, Albania"
TIV,Tivat Airport,"Tivat, Montenegro"
TLS,Toulouse–Blagnac Airport,"Toulouse, Midi-Pyrénées, France"
TRN,Turin Airport (Caselle Airport),"Turin, Piedmont, Italy"
TSR,Timișoara Traian Vuia International Airport,"Timișoara, Romania"
TZL,Tuzla International Airport,"Tuzla, Bosnia and Herzegovina"
VAR,Varna Airport,"Varna, Bulgaria"
VCE,Venice Marco Polo Airport,"Venice, Veneto, Italy"
VIE,Vienna International Airport,"Vienna, Austria"
VKO,Vnukovo International Airport,"Moscow, Russia"
VLC,Valencia Airport,"Valencia, Valencian Community, Spain"
VNO,Vilnius Airport,"Vilnius, Lithuania"
VOG,Volgograd International Airport,"Volgograd, Volgograd Oblast, Russia"
VRN,Verona Villafranca Airport,"Verona, Veneto, Italy"
WAW,Warsaw Chopin Airport,"Warsaw, Poland"
WMI,Warsaw Modlin Airport,"Warsaw, Poland"
WRO,Copernicus Airport Wrocław,"Wrocław, Poland"
ZAG,Franjo Tuđman Airport,"Zagreb, Croatia"
ZIA,Ramenskoye Airport[1] (Zhukovsky Airport),"Zhukovsky, Moscow Oblast, Russia"
ZRH,Zurich Airport,"Zürich, Switzerland"
ZTH,Zakynthos International Airport (Dionysios SolomosAirport),"Zakynthos, Greece"
AAE,Rabah Bitat Airport (Les Salines Airport),"Annaba, Algeria"
ABJ,Port Bouet Airport (Felix Houphouet Boigny Int'l),"Abidjan, Côte d'Ivoire"
ABO,Aboisso Airport,"Aboisso, Côte d'Ivoire"
ABV,Nnamdi Azikiwe International Airport,"Abuja, Nigeria"
ACC,Kotoka International Airport,"Accra, Ghana"
ADD,Bole International Airport,"Addis Ababa, Ethiopia"
AGA,Agadir–Al Massira Airport,"Agadir, Morocco"
ALG,Houari Boumediene Airport,"Algiers, Algeria"
ARK,Arusha Airport,"Arusha, Tanzania"
ASK,Yamoussoukro Airport,"Yamoussoukro, Côte d'Ivoire"
ASM,Asmara International Airport,"Asmara, Eritrea"
BBK,Kasane Airport,"Kasane, Botswana"
BEN,Benina International Airport,"Benghazi, Libya"
BGF,Bangui M'Poko International Airport,"Bangui, Central African Republic"
BJL,Banjul International Airport,"Banjul, Gambia"
BJM,Bujumbura International Airport,"Bujumbura, Burundi"
BKO,Bamako–Sénou International Airport,"Bamako, Mali"
BLJ,Mostépha Ben Boulaid Airport,"Batna, Algeria"
BLZ,Chileka International Airport,"Blantyre, Malawi"
BNI,Benin Airport,"Benin City, Nigeria"
BOY,Bobo Dioulasso Airport,"Bobo-Dioulasso, Burkina Faso"
BSK,Biskra Airport,"Biskra, Algeria"
BTE,Sherbro International Airport,"Bonthe, Sierra Leone"
BVC,Aristides Pereira International Airport (Rabil Airport),"Boa Vista, Cape Verde"
BZV,Maya-Maya Airport,"Brazzaville, Republic of the Congo"
CAB,Cabinda Airport,"Cabinda, Angola"
CAI,Cairo International Airport,"Cairo, Egypt"
CKY,Conakry International Airport (Gbessia Int'l Airport),"Conakry, Guinea"
CMN,Mohammed V International Airport,"Casablanca, Morocco"
COO,Cadjehoun Airport,"Cotonou, Benin"
CPT,Cape Town International Airport,"Cape Town, South Africa"
CSK,Cap Skirring Airport,"Cap Skirring, Senegal"
CZL,Mohamed Boudiaf International Airport,"Constantine, Algeria"
DAR,Julius Nyerere International Airport,"Dar es Salaam, Tanzania"
DJE,Djerba–Zarzis International Airport,"Djerba, Tunisia"
DKR,Léopold Sédar Senghor International Airport,"Dakar, Senegal"
DLA,Douala International Airport,"Douala, Cameroon"
DUR,King Shaka International Airport,"Durban, South Africa"
EBB,Entebbe International Airport,"Entebbe, Uganda"
ELF,El Fasher Airport,"El Fasher, Sudan"
FBM,Lubumbashi International Airport,"Lubumbashi, Democratic Republic of the Congo"
FEZ,Fes–Saïss Airport,"Fez, Morocco"
FIH,N'djili Airport (Kinshasa Int'l Airport),"Kinshasa, Democratic Republic of the Congo"
FNA,Lungi International Airport,"Freetown, Sierra Leone"
HAH,Prince Said Ibrahim International Airport,"Moroni, Comoros"
HDS,Air Force Base Hoedspruit,"Hoedspruit, South Africa"
HGA,Hargeisa International Airport (Egal Int'l),"Hargeisa, Somalia"
HRE,Harare International Airport,"Harare, Zimbabwe"
HRG,Hurghada International Airport,"Hurghada, Egypt"
JIB,Djibouti–Ambouli International Airport,"Djibouti, Djibouti"
JNB,O. R. Tambo International Airport,"Johannesburg, South Africa"
JRO,Kilimanjaro International Airport,"Kilimanjaro, Tanzania"
JUB,Juba International Airport,"Juba, South Sudan"
KAN,Mallam Aminu Kano International Airport,"Kano, Nigeria"
KGL,Kigali International Airport (Kanombe Airport),"Kigali, Rwanda"
KRT,Khartoum International Airport,"Khartoum, Sudan"
LAD,Quatro de Fevereiro Airport,"Luanda, Angola"
LBV,Libreville International Airport,"Libreville, Gabon"
LFW,Lomé–Tokoin Airport (Gnassingbé Eyadéma Int'l),"Lomé, Togo"
LLW,Lilongwe International Airport (Kamuzu Int'l),"Lilongwe, Malawi"
LOS,Murtala Muhammed International Airport,"Lagos, Nigeria"
LUN,Kenneth Kaunda International Airport,"Lusaka, Zambia"
LVI,Harry Mwanga Nkumbula International Airport,"Livingstone, Zambia"
LXR,Luxor International Airport,"Luxor, Egypt"
MBA,Moi International Airport,"Mombasa, Kenya"
MGQ,Aden Adde International Airport,"Mogadishu, Somalia"
MIR,Monastir Habib Bourguiba International Airport,"Monastir, Tunisia"
MPM,Maputo International Airport,"Maputo, Mozambique"
MRA,Misrata Airport,"Misrata, Libya"
MRU,Sir Seewoosagur Ramgoolam International Airport,"Plaine Magnien, Mauritius"
MSU,Moshoeshoe I International Airport,"Maseru, Lesotho"
MSW,Massawa International Airport,"Massawa, Eritrea"
MUB,Maun Airport,"Maun, Botswana"
NBE,Enfidha-Hammamet International Airport,"Enfidha, Tunisia"
NBO,Jomo Kenyatta International Airport,"Nairobi, Kenya"
NDB,Nouadhibou International Airport,"Nouadhibou, Mauritania"
NDJ,N'Djamena International Airport,"N'Djamena, Chad"
NDR,Nador International Airport,"Nador, Morocco"
NIM,Diori Hamani International Airport,"Niamey, Niger"
NKC,Nouakchott–Oumtounsy International Airport,"Nouakchott, Mauritania"
NLA,Simon Mwansa Kapwepwe International Airport,"Ndola, Zambia"
NOS,Fascene Airport[1],"Nosy Be, Madagascar"
NSI,Yaoundé Nsimalen International Airport,"Yaoundé, Cameroon"
OGO,Abengourou Airport[1],"Abengourou, Ivory Coast"
ORN,Oran Es Sénia Airport,"Oran, Algeria"
OUA,Ouagadougou Airport,"Ouagadougou, Burkina Faso"
OXB,Osvaldo Vieira International Airport,"Bissau, Guinea-Bissau"
PHC,Port Harcourt International Airport,"Port Harcourt, Nigeria"
PKO,Parakou Airport,"Parakou, Benin"
PZU,Port Sudan New International Airport,"Port Sudan, Sudan"
QSF,Ain Arnat Airport,"Sétif, Algeria"
RAI,Nelson Mandela International Airport,"Praia, Cape Verde"
RAK,Marrakesh Menara Airport,"Marrakesh, Morocco"
RBA,Rabat–Salé Airport,"Rabat, Morocco"
ROB,Roberts International Airport,"Monrovia, Liberia"
RUN,Roland Garros Airport,"St-Denis, Réunion, France"
SEZ,Seychelles International Airport,"Mahé, Seychelles"
SFA,Sfax–Thyna International Airport,"Sfax, Tunisia"
SHO,King Mswati III International Airport[1] (Sikhuphe Int'l),"Manzini, Swaziland"
SID,Amílcar Cabral International Airport,"Sal, Cape Verde"
SSG,Malabo International Airport (Saint Isabel Airport),"Malabo, Equatorial Guinea"
SSH,Sharm el-Sheikh International Airport,"Sharm el-Sheikh, Egypt"
SZA,Soyo Airport[1],"Soyo, Angola"
TIP,Tripoli International Airport,"Tripoli, Libya"
TLM,Zenata – Messali El Hadj Airport[1],"Tlemcen, Algeria"
TMS,São Tomé International Airport,"São Tomé, São Tomé and Príncipe"
TNG,Tangier Ibn Battouta Airport,"Tangier, Morocco"
TNR,Ivato International Airport,"Antananarivo, Madagascar"
TUN,Tunis–Carthage International Airport,"Tunis, Tunisia"
UYL,Nyala Airport,"Nyala, Sudan"
VFA,Victoria Falls Airport,"Victoria Falls, Zimbabwe"
VIL,Dakhla Airport,"Dakhla, Morocco"
WDH,Hosea Kutako International Airport,"Windhoek, Namibia"
ZIG,Ziguinchor Airport,"Ziguinchor, Senegal"
ZNZ,Abeid Amani Karume International Airport,"Zanzibar, Tanzania"
ADE,Aden International Airport,"Aden, Yemen"
ALP,Aleppo International Airport,"Aleppo, Syria"
AMM,Queen Alia International Airport,"Amman, Jordan"
ASR,Erkilet International Airport,"Kayseri, Turkey"
